# Joint xGASS & xCOLD GASS catalog used in Feldmann 2020, Communications Physics
# The xGASS catalog is publicly available at http://xgass.icrar.org and it was published in Catinella, B. et al. 2018, Mon. Not. R. Astron. Soc. 476, 875–895 (C18). 
# The xCOLD GASS catalog is publicly available at http://www.star.ucl.ac.uk/xCOLDGASS and it was published in Saintonge, A. et al. 2017, Astrophys. J. Suppl. Ser. 233, 22 (S17).
# This combined catalog uses improved stellar masses from the MPA-JHU catalogue for DR7 available at https://home.strw.leidenuniv.nl/~jarle/SDSS/
# #
# Content of this file:
# ID            .. GASS/xGASS identifier 
# z             .. redshift: zHI from C18 for HI detected objects, zSDSS otherwise
# lgMstar       .. stellar mass (from MPA-JHU DR7)
# lgMstar_p16   .. 16th percentile of uncertainty of lgMstar
# lgMstar_p84   .. 84th percentile of uncertainty of lgMstar
# lgMstar_C18   .. stellar masses provided in C18
# SFR_case      .. case of UV+MIR SFR calculation provided in C18
# SFR_source    .. source catalog of SFR: from S17 if 'xCOLDGASS', from C18 otherwise (default)
# SFR           .. SFR in solar masses / year from either S17 (10**LOGSFR_BEST) or from C18 (SFR_best), SFR is set to NaN if SFR_censored=True or if SFR_case is neither 1 nor 2
# e_SFR         .. corresponding 1-sigma uncertainty of the SFR from either S17 (based on LOGSFR_ERR and LOGSFR_BEST), C18 (SFRerr_best), or provided by a fit if missing
# SFR_censored  .. flag indicating whether SFR < e_SFR
# SFR_limit     .. set to e_SFR for galaxies with SFR_censored == True
# e_SFR_est     .. flag showing whether errors of SFRs where estimated (instead of given) 
# MHI           .. HI masses calculated as described in the Appendix in C18
# e_MHI         .. 1-sigma uncertainty of the HI masses
# MHI_censored  .. flag indicating HI non-detections (HIsrc_x == 4 in C18) 
# MHI_limit     .. set to 5 * e_MHI for galaxies with MHI_censored == True
# MH2           .. H2 masses calculated from LCO_COR and XCO_A17 fields in S17
# e_MH2         .. 1-sigma uncertainty of the H2 masses, propagated observational uncertainty of CO observations (based on LCO_COR and LCO_COR_ERR entries in S17) 
# MH2_censored  .. flag indicating CO non-detections (FLAG_CO == 2 in S17)
# MH2_limit     .. set to 3 * e_MH2 for galaxies with MH2_censored == True
# in_C18        .. if True (False) Galaxy is (not) part of xGASS catalog
# in_S17        .. if True (False) Galaxy is (not) part of xCOLD GASS catalog
ID,z,lgMstar,lgMstar_p16,lgMstar_p84,lgMstar_C18,SFR_case,SFR_source,SFR,e_SFR,SFR_censored,SFR_limit,e_SFR_est,MHI,e_MHI,MHI_censored,MHI_limit,MH2,e_MH2,MH2_censored,MH2_limit,in_C18,in_S17
4137,0.044561,10.899405999999999,10.813158,10.979341999999999,10.9,9.0,,0.18514463,0.1597158671812534,False,,True,3595447529.4844155,449430941.18555194,False,0.0,,161699026.30373332,True,485097078.9112,True,True
4233,0.043363,10.874792,10.775925,10.961948,10.875,9.0,,0.012812262,0.08251857808453811,False,,True,4602399403.240711,681836948.6282535,False,0.0,,108514393.47016934,True,325543180.41050804,True,True
4223,0.025948000000000002,10.558905000000001,10.466066,10.641552,10.559000000000001,2.0,,,0.08091881,True,0.08091881,False,3048334355.538562,307912561.1655113,False,0.0,,114945561.57819,True,344836684.73457,True,True
4239,0.02615,10.800642,10.714788,10.881923,10.800999999999998,2.0,,,0.10047707,True,0.10047707,False,,164070308.86596352,True,820351544.3298177,,106712354.41271132,True,320137063.23813397,True,True
3962,0.042903,10.904583,10.818067999999998,11.016619,10.904000000000002,1.0,,6.3407946,0.32435796,False,,False,5592607321.594506,834717510.6857471,False,0.0,7943214169.698219,1371225991.69626,False,,True,True
4017,0.025800999999999998,10.225804,10.129882,10.335723,10.225,1.0,,0.67506695,0.17227708,False,,False,1887362645.0694034,182647997.90994227,False,0.0,471709965.29800004,113706861.47106001,False,,True,True
3880,0.02698,10.522964,10.431514,10.607861,10.524000000000001,2.0,,,0.08439921,True,0.08439921,False,,107406359.27405064,True,537031796.3702532,,67073411.23854774,True,201220233.71564323,True,True
3977,0.032482,10.262048,10.171707000000001,10.358305,10.262,1.0,,0.43625690000000006,0.19345076,False,,False,3376690176.1326694,530622741.96370524,False,0.0,245869601.52384,76547856.2562,False,,True,True
4030,0.049204000000000005,11.330996,11.238814999999999,11.413604,11.331,1.0,,1.1555989,0.2647782,False,,False,4153530933.3162427,765124119.2950975,False,0.0,3732611281.5277348,770548253.9969699,False,,True,True
4038,0.041729,10.716063499999999,10.622858,10.810443,10.716,1.0,,1.5093926000000002,0.28816321,False,,False,9013020720.161972,869677437.9103657,False,0.0,1986030484.21746,414802297.90153795,False,,True,True
4039,0.025428,10.325042,10.233360000000001,10.409092999999999,10.325,1.0,,0.2617848,0.06590662,False,,False,3281378106.5802364,206933754.4690239,False,0.0,,59986874.17371999,True,179960622.52115998,True,True
4040,0.02694,10.316421,10.225083,10.399067,10.315999999999999,2.0,,,0.06851394,True,0.06851394,False,,98181575.23052078,True,490907876.1526039,,61282256.004741326,True,183846768.014224,True,True
4048,0.041399,10.554339,10.465696000000001,10.654173,10.554,1.0,,1.535785,0.33367547,False,,False,5526762681.169273,622733823.2303407,False,0.0,1706986865.775,318929645.0725152,False,,True,True
4057,0.039734,10.524826,10.43343,10.620214,10.524000000000001,1.0,,0.4893918,0.19339707,False,,False,8115697777.208039,646383008.8041801,False,0.0,,167169778.85252264,True,501509336.55756795,True,True
13775,0.026402,10.573838,10.483630999999999,10.671841,10.573,9.0,,0.3688795,0.16920704037794534,False,,True,12944883835.14862,414491354.3274189,False,0.0,376708268.16514504,116952679.82165462,False,,True,True
51416,0.04446,11.272101,11.177610000000001,11.353208,11.272,2.0,,,0.24837644,True,0.24837644,False,,574156116.4049385,True,2870780582.024692,,398138057.97992593,True,1194414173.9397779,True,True
56375,0.046429000000000005,10.841702,10.7480345,10.934933000000001,10.842,9.0,,1.2568778,0.2501630133134996,False,,True,12560947731.373554,584230127.0406305,False,0.0,2933866859.8242354,564368779.5097239,False,,True,True
56319,0.03453,10.136519999999999,10.02715,10.201901,10.137,2.0,,0.47250929999999997,0.21792166,False,,False,,88110972.70131068,True,440554863.5065534,534994971.35184,137658369.0762688,False,,True,True
51563,0.029604000000000002,10.476956,10.381366,10.568023,10.477,1.0,,0.77666676,0.21697894,False,,False,4411070306.138701,240603834.88029277,False,0.0,1346070138.96996,265407132.550968,False,,True,True
56304,0.034007,10.889582,10.797364,10.973396000000001,10.89,1.0,,1.492197,0.18058164,False,,False,8823427803.984943,634018764.3581995,False,0.0,1007135985.949184,227579840.018776,False,,True,True
32308,0.029283999999999998,10.014957,9.911572,10.114902,10.016,2.0,,0.32434133,0.12620883,False,,False,1020228767.2188793,196197839.8497845,False,0.0,368392557.14781517,81027355.91928118,False,,True,True
52297,0.032899,10.489837,10.398442,10.57265,10.49,2.0,,0.13337871,0.083862714,False,,False,3116979185.8539467,494758600.9291979,False,0.0,,89073410.43916667,True,267220231.3175,True,True
16695,0.028125999999999998,10.066118,9.969861,10.160303,10.066,1.0,,0.35105735,0.18210943,False,,False,9773294618.812954,398171262.2479352,False,0.0,773981481.0031201,175423075.190064,False,,True,True
25752,0.036835,10.554563499999999,10.462005,10.649277,10.555,1.0,,2.3472967000000002,0.29263803,False,,False,12993248618.238844,371235674.8068241,False,0.0,2853625759.326,558671886.72,False,,True,True
56612,0.02903,10.267991,10.177717,10.353019,10.267999999999999,9.0,,0.022935385,0.07183474683959594,False,,True,,100700121.75758095,True,503500608.78790474,,75716842.99388333,True,227150528.98165,True,True
25763,0.029619999229907986,10.113850999999999,10.030427,10.2151575,10.113999999999999,,xCOLDGASS,1.6498128048034277,0.21990487491881303,False,,True,,,False,,1666560503.1238,303173160.39751005,False,,False,True
57017,0.032266,10.536783999999999,10.484095,10.762198,10.536,1.0,,0.33558795,0.18720451,False,,False,6997675359.944532,571238804.8934312,False,0.0,729458569.313894,162490826.0687684,False,,True,True
20133,0.048977,10.855525,10.76175,10.947091,10.856,1.0,,5.328233200000001,0.38194677,False,,False,3573747144.890122,649772208.1618403,False,0.0,3215759743.24648,650745754.0126001,False,,True,True
8347,0.04627,10.681169,10.586542999999999,10.768529,10.675999999999998,2.0,,,0.1983789,True,0.1983789,False,,170620022.80351824,True,853100114.0175912,,166144764.806548,True,498434294.41964406,True,True
